date_utc,market_id,label,question,yes_price,best_bid,best_ask,volume_24h,closed,grok_called,score,catalyst,volume_signal,error
2026-09-26T09:14Z,2589813,Fed +25bps Oct 2026,Will the Fed increase interest rates by 25 bps after the October 2026 meeting?,0.645,0.64,0.65,230359.01308799995,0,1,36,Hawkish Fed official comments and rising yields drove October 2026 25bps hike odds from around 50% into the mid-60s on multi-million-dollar Polymarket volume.,rising,
2026-09-26T09:14Z,4641065,US-Iran ceasefire through Oct 31,US x Iran ceasefire continues through October 31?,0.545,0.54,0.55,74899.72846700001,0,1,19,Polymarket odds on the US-Iran ceasefire holding through October 31 swung from about 50% to 75% on a $336K volume spike before settling near 59.5% as traders weighed renewed strike and shipping risks.,rising,
2026-09-26T09:14Z,562828,"Balance of Power: D Senate, D House","2026 Balance of Power: D Senate, D House",0.615,0.61,0.62,45427.70346299999,0,1,28,Polymarket repriced D Senate + D House up to 64% while a whale opened a large No position at 37 cents.,rising,
2026-09-26T09:14Z,2100981,"Likud most seats, Israel 2026",Will Likud win the most seats in the 2026 Israeli legislative election?,0.415,0.41,0.42,32091.194954,0,1,-28,"Polymarket still has Yashar favored over Likud for most Knesset seats, though Yashar's odds fell from 62% to 55% in the last hour as polls keep the two parties nearly tied.",rising,
2026-09-26T09:14Z,1892495,Minnesota Lynx win 2026 WNBA Finals,Will Minnesota Lynx win the 2026 WNBA Finals?,0.47,0.46,0.48,60877.138235000006,0,1,48,"Lynx locked the No. 1 seed and home-court edge as playoffs open, with title odds shortening from +300 to +115 and Polymarket near 42%.",rising,
2026-09-26T14:29Z,2589813,Fed +25bps Oct 2026,Will the Fed increase interest rates by 25 bps after the October 2026 meeting?,0.645,0.64,0.65,180829.38451699994,0,1,63,Whale buys of YES at 63¢ and 12x average volume follow the September hike amid sticky inflation expectations.,rising,
2026-09-26T14:29Z,4641065,US-Iran ceasefire through Oct 31,US x Iran ceasefire continues through October 31?,0.565,0.56,0.57,113144.81705800003,0,1,-32,"Trump rejected Iran’s 7-day ceasefire proposal, weighing on odds the US-Iran truce holds through October 31 after recent prints near 58-60%.",rising,
2026-09-26T14:29Z,562828,"Balance of Power: D Senate, D House","2026 Balance of Power: D Senate, D House",0.615,0.61,0.62,80267.47553300002,0,1,58,Democratic sweep odds climbed from the low-50s into the mid-60s as traders priced a correlated midterm wave rather than independent chamber bets.,rising,
2026-09-26T14:29Z,2100981,"Likud most seats, Israel 2026",Will Likud win the most seats in the 2026 Israeli legislative election?,0.415,0.41,0.42,7601.233585,0,1,-38,Polymarket and outlets report Yashar at about 62-69% versus Likud near 38-39% for most Knesset seats after Eisenkot widened the gap.,flat,
2026-09-26T14:29Z,1892495,Minnesota Lynx win 2026 WNBA Finals,Will Minnesota Lynx win the 2026 WNBA Finals?,0.47,0.46,0.48,37178.138235,0,1,28,Playoffs open with the Lynx as the No. 1 seed while Polymarket and Kalshi still price them only around 42-47% to win the title.,rising,
